Council,p_control,Total,Next election,Cycle,Code,GP,Vacant,LAB,CON,LD,Other,SNP,PC,DUP,SF,AL,SDLP,UUP,,,,,,,
Hartlepool,NOC,32,06-May-21,thirds,E06000001,0,0,10,4,0,18,0,0,0,0,0,0,0,,,,,,,
Middlesbrough,NOC,46,04-May-23,"all, 4n+3",E06000002,0,0,20,3,0,23,0,0,0,0,0,0,0,,,,,,,
Redcar and Cleveland,NOC,59,04-May-23,"all, 4n+3",E06000003,0,0,15,11,13,20,0,0,0,0,0,0,0,,,,,,,
Stockton-on-Tees,NOC,56,04-May-23,"all, 4n+3",E06000004,0,0,24,14,2,16,0,0,0,0,0,0,0,,,,,,,
Darlington,NOC,50,04-May-23,"all, 4n+3",E06000005,2,0,19,22,3,4,0,0,0,0,0,0,0,,,,,,,
Halton,LAB,56,06-May-21,thirds,E06000006,0,0,51,2,3,0,0,0,0,0,0,0,0,,,,,,,
Warrington,LAB,58,06-May-21,"all, 4n",E06000007,0,0,44,1,12,1,0,0,0,0,0,0,0,,,,,,,
Blackburn with Darwen,LAB,51,04-May-23,thirds,E06000008,0,0,36,13,2,0,0,0,0,0,0,0,0,,,,,,,
Blackpool,LAB,42,04-May-23,"all, 4n+3",E06000009,0,0,23,15,0,4,0,0,0,0,0,0,0,,,,,,,
"Kingston upon Hull, City of",LAB,57,06-May-21,thirds,E06000010,0,0,31,2,24,0,0,0,0,0,0,0,0,,,,,,,
East Riding of Yorkshire,CON,67,04-May-23,"all, 4n+3",E06000011,0,0,0,48,9,10,0,0,0,0,0,0,0,,,,,,,
North East Lincolnshire,CON,42,06-May-21,thirds,E06000012,0,0,14,23,4,1,0,0,0,0,0,0,0,,,,,,,
North Lincolnshire,CON,43,04-May-23,"all, 4n+3",E06000013,0,0,16,27,0,0,0,0,0,0,0,0,0,,,,,,,
York,NOC,47,04-May-23,"all, 4n+3",E06000014,4,0,17,2,21,3,0,0,0,0,0,0,0,,,,,,,
Derby,NOC,51,06-May-21,thirds,E06000015,0,0,15,20,8,8,0,0,0,0,0,0,0,,,,,,,
Leicester,LAB,54,04-May-23,"all, 4n+3",E06000016,0,1,51,0,1,1,0,0,0,0,0,0,0,,,,,,,
Rutland,CON,27,04-May-23,"all, 4n+3",E06000017,1,0,1,13,4,8,0,0,0,0,0,0,0,,,,,,,
Nottingham,LAB,55,04-May-23,"all, 4n+3",E06000018,0,0,50,2,0,3,0,0,0,0,0,0,0,,,,,,,
"Herefordshire, County of",NOC,53,04-May-23,"all, 4n+3",E06000019,7,0,0,13,7,26,0,0,0,0,0,0,0,,,,,,,
Telford and Wrekin,LAB,54,04-May-23,"all, 4n+3",E06000020,0,0,34,13,4,1,0,0,0,0,0,0,0,,,,,,,
Stoke-on-Trent,NOC,44,04-May-23,"all, 4n+3",E06000021,0,0,15,15,0,14,0,0,0,0,0,0,0,,,,,,,
Bath and North East Somerset,LD,59,04-May-23,"all, 4n+3",E06000022,0,0,5,11,37,6,0,0,0,0,0,0,0,,,,,,,
"Bristol, City of",LAB,70,06-May-21,"all, 4n",E06000023,11,0,36,14,9,0,0,0,0,0,0,0,0,,,,,,,
North Somerset,NOC,50,04-May-23,"all, 4n+3",E06000024,3,0,6,13,11,17,0,0,0,0,0,0,0,,,,,,,
South Gloucestershire,CON,70,04-May-23,"all, 4n+3",E06000025,0,0,11,33,17,0,0,0,0,0,0,0,0,,,,,,,
Plymouth,CON,57,05-May-22,thirds,E06000026,0,0,23,25,0,9,0,0,0,0,0,0,0,,,,,,,
Torbay,NOC,36,04-May-23,"all, 4n+3",E06000027,0,0,0,14,12,10,0,0,0,0,0,0,0,,,,,,,
Swindon,CON,57,06-May-21,thirds,E06000030,0,0,24,31,2,0,0,0,0,0,0,0,0,,,,,,,
Peterborough,NOC,60,06-May-21,thirds,E06000031,2,1,17,27,9,4,0,0,0,0,0,0,0,,,,,,,
Luton,LAB,48,04-May-23,"all, 4n+3",E06000032,0,0,32,4,12,0,0,0,0,0,0,0,0,,,,,,,
Southend-on-Sea,NOC,51,06-May-21,thirds,E06000033,0,0,13,23,1,10,0,0,0,0,0,0,0,,,,,,,
Thurrock,CON,49,06-May-21,thirds,E06000034,0,0,16,29,0,4,0,0,0,0,0,0,0,,,,,,,
Medway,CON,55,04-May-23,"all, 4n+3",E06000035,0,0,20,33,0,2,0,0,0,0,0,0,0,,,,,,,
Bracknell Forest,CON,42,04-May-23,"all, 4n+3",E06000036,0,0,4,37,1,0,0,0,0,0,0,0,0,,,,,,,
West Berkshire,CON,52,04-May-23,"all, 4n+3",E06000037,3,0,0,24,16,0,0,0,0,0,0,0,0,,,,,,,
Reading,LAB,46,06-May-21,thirds,E06000038,4,0,30,10,2,0,0,0,0,0,0,0,0,,,,,,,
Slough,LAB,42,06-May-21,thirds,E06000039,0,0,37,5,0,0,0,0,0,0,0,0,0,,,,,,,
Windsor and Maidenhead,CON,57,04-May-23,"all, 4n+3",E06000040,0,0,0,23,9,9,0,0,0,0,0,0,0,,,,,,,
Wokingham,CON,54,06-May-21,thirds,E06000041,0,0,3,31,16,4,0,0,0,0,0,0,0,,,,,,,
Milton Keynes,NOC,57,06-May-21,thirds,E06000042,0,0,23,19,15,0,0,0,0,0,0,0,0,,,,,,,
Brighton and Hove,NOC,54,04-May-23,"all, 4n+3",E06000043,20,0,16,13,0,5,0,0,0,0,0,0,0,,,,,,,
Portsmouth,NOC,42,06-May-21,thirds,E06000044,0,0,6,16,18,2,0,0,0,0,0,0,0,,,,,,,
Southampton,LAB,48,06-May-21,thirds,E06000045,0,0,29,18,0,1,0,0,0,0,0,0,0,,,,,,,
Isle of Wight,CON,40,06-May-21,"all, 4n+1",E06000046,0,0,1,25,2,12,0,0,0,0,0,0,0,,,,,,,
County Durham,LAB,126,06-May-21,"all, 4n+1",E06000047,0,0,74,10,14,28,0,0,0,0,0,0,0,,,,,,,
Cheshire East,NOC,82,04-May-23,"all, 4n+3",E06000049,0,1,24,32,4,21,0,0,0,0,0,0,0,,,,,,,
Cheshire West and Chester,NOC,75,04-May-23,"all, 4n+3",E06000050,1,0,35,27,2,5,0,0,0,0,0,0,0,,,,,,,
Shropshire,CON,74,06-May-21,"all, 4n+1",E06000051,1,1,6,48,12,6,0,0,0,0,0,0,0,,,,,,,
Cornwall,NOC,123,06-May-21,"all, 4n+1",E06000052,0,1,4,45,35,38,0,0,0,0,0,0,0,,,,,,,
Wiltshire,CON,98,06-May-21,"all, 4n+1",E06000054,0,1,3,63,21,10,0,0,0,0,0,0,0,,,,,,,
Bedford,NOC,40,04-May-23,"all, 4n+3",E06000055,2,0,11,11,15,1,0,0,0,0,0,0,0,,,,,,,
Central Bedfordshire,CON,59,04-May-23,"all, 4n+3",E06000056,0,0,1,41,3,14,0,0,0,0,0,0,0,,,,,,,
Northumberland,NOC,67,06-May-21,"all, 4n+1",E06000057,0,0,24,33,3,7,0,0,0,0,0,0,0,,,,,,,
"Bournemouth, Christchurch and Poole",NOC,76,04-May-23,"all, 4n+3",E06000058,2,2,3,36,14,19,0,0,0,0,0,0,0,,,,,,,
Dorset,CON,82,04-May-23,"all, 4n+3",E06000059,4,0,1,43,29,5,0,0,0,0,0,0,0,,,,,,,
Buckinghamshire,CON,147,TBC,TBC,E06000060,1,0,4,113,15,14,0,0,0,0,0,0,0,,,,,,,
North Northamptonshire,CON,78,TBC,TBC,E06000061,3,0,14,60,1,1,0,0,0,0,0,0,0,,,,,,,
West Northamptonshire,CON,93,TBC,TBC,E06000062,0,0,20,66,5,2,0,0,0,0,0,0,0,,,,,,,
Cambridge,LAB,42,05-May-22,thirds,E07000008,2,0,27,0,12,1,0,0,0,0,0,0,0,,,,,,,
East Cambridgeshire,CON,28,04-May-23,"all, 4n+3",E07000009,0,0,0,15,13,0,0,0,0,0,0,0,0,,,,,,,
Fenland,CON,39,04-May-23,"all, 4n+3",E07000010,1,0,0,26,2,10,0,0,0,0,0,0,0,,,,,,,
Huntingdonshire,CON,52,05-May-22,"all, 4n+2",E07000011,0,0,4,30,7,11,0,0,0,0,0,0,0,,,,,,,
South Cambridgeshire,LD,45,05-May-22,"all, 4n+2",E07000012,0,0,2,11,30,2,0,0,0,0,0,0,0,,,,,,,
Allerdale,NOC,49,none,"all, 4n+3",E07000026,0,0,14,15,0,20,0,0,0,0,0,0,0,,,,,,,
Barrow-in-Furness,LAB,36,none,"all, 4n+3",E07000027,0,0,24,12,0,0,0,0,0,0,0,0,0,,,,,,,
Carlisle,NOC,52,none,"all, 4n+3",E07000028,1,0,13,19,1,5,0,0,0,0,0,0,0,,,,,,,
