"Code","Council","GP","Vacant","LAB","CON","LD","Other","SNP","PC","DUP","SF","AL","SDLP","UUP","raw_total","party"
"S12000033","Aberdeen City","0","0","11","8","4","2","20","0","0","0","0","0","0","45","NOC"
"S12000034","Aberdeenshire","0","0","0","26","14","9","21","0","0","0","0","0","0","70","NOC"
"E07000223","Adur","2","0","9","19","0","2","0","0","0","0","0","0","0","29","CON"
"E07000032","Amber Valley","3","0","11","30","0","1","0","0","0","0","0","0","0","45","CON"
"S12000041","Angus","0","0","1","7","0","7","13","0","0","0","0","0","0","28","NOC"
"S12000035","Argyll and Bute","1","0","1","10","5","7","12","0","0","0","0","0","0","36","NOC"
"E09000002","Barking and Dagenham","0","0","51","0","0","0","0","0","0","0","0","0","0","51","LAB"
"E09000003","Barnet","0","0","41","22","0","0","0","0","0","0","0","0","0","63","LAB"
"E08000016","Barnsley","0","0","46","4","9","4","0","0","0","0","0","0","0","63","LAB"
"E07000066","Basildon","0","0","10","25","0","7","0","0","0","0","0","0","0","42","CON"
"E07000084","Basingstoke and Deane","0","0","10","29","7","8","0","0","0","0","0","0","0","60","CON"
"N06000001","Belfast East","0","0","0","0","0","0","0","0","2","0","2","0","1","5","NOC"
"N06000002","Belfast North","0","0","0","0","0","0","0","0","2","2","1","0","0","5","NOC"
"N06000003","Belfast South","0","0","0","0","0","0","0","0","1","1","2","1","0","5","NOC"
"N06000004","Belfast West","0","0","0","0","0","1","0","0","0","4","0","0","0","5","SF"
"E09000004","Bexley","0","0","12","33","0","0","0","0","0","0","0","0","0","45","CON"
"E08000025","Birmingham","2","0","65","22","12","0","0","0","0","0","0","0","0","101","LAB"
"E06000008","Blackburn with Darwen","0","0","36","13","1","1","0","0","0","0","0","0","0","51","LAB"
"W06000019","Blaenau Gwent","0","0","21","0","0","12","0","0","0","0","0","0","0","42","LAB"
"E08000001","Bolton","0","0","19","23","5","13","0","0","0","0","0","0","0","60","NOC"
"E08000032","Bradford","6","0","52","21","6","5","0","0","0","0","0","0","0","90","LAB"
"E09000005","Brent","0","0","49","5","3","0","0","0","0","0","0","0","0","63","LAB"
"E07000068","Brentwood","0","0","2","21","14","0","0","0","0","0","0","0","0","37","CON"
"W06000013","Bridgend","0","0","27","1","0","21","0","2","0","0","0","0","0","54","LAB"
"E09000006","Bromley","0","0","12","36","5","5","0","0","0","0","0","0","0","60","CON"
"E07000095","Broxbourne","0","0","3","26","0","1","0","0","0","0","0","0","0","30","CON"
"E07000117","Burnley","6","0","18","8","8","5","0","0","0","0","0","0","0","45","NOC"
"E08000002","Bury","0","0","29","12","1","9","0","0","0","0","0","0","0","51","LAB"
"W06000018","Caerphilly","0","0","45","0","0","6","0","18","0","0","0","0","0","73","LAB"
"E08000033","Calderdale","0","0","28","15","6","1","0","0","0","0","0","0","0","51","LAB"
"E07000008","Cambridge","3","0","29","0","9","1","0","0","0","0","0","0","0","42","LAB"
"E09000007","Camden","1","0","47","3","4","0","0","0","0","0","0","0","0","54","LAB"
"E07000192","Cannock Chase","2","0","8","25","2","4","0","0","0","0","0","0","0","41","CON"
"W06000015","Cardiff","0","0","55","11","10","1","0","2","0","0","0","0","0","75","LAB"
"W06000010","Carmarthenshire","0","0","23","0","0","14","0","38","0","0","0","0","0","74","PC"
"E07000069","Castle Point","0","0","0","15","0","26","0","0","0","0","0","0","0","41","NOC"
